label,title
9,Deoxynivalenol Promotes Porcine Epidemic Diarrhea Virus Infection and Aggravates Gut Barrier Injury
9,Chapter 8 Suidae and Tayassuidae
9,"Effects of a blend of essential oils in milk replacer on performance, rumen fermentation, blood parameters and health scores of dairy heifers"
9,A Novel Pathogenic Mammalian Orthoreovirus from Diarrheic Pigs and Swine Blood Meal in the United States
9,Pathophysiology of Diarrhea in Calves
9,Enterotoxigenic Escherichia coli Infections in Newborn Calves: A Review
9,Intravenous Fluid Therapy of Calves
9,Survival of Salmonella spp. and fecal indicator bacteria in Vietnamese biogas digesters receiving pig slurry
9,Invited Review: Nutritional regulation of gut function in dairy calves: From colostrum to weaning
9,Treatment of Diarrhea of Neonatal Calves
9,Treatment of Calf Diarrhea: Intravenous Fluid Therapy
9,"Prevalence of Cryptosporidia, Eimeria, Giardia, and Strongyloides in pre-weaned calves on smallholder dairy farms in Mukurwe-ini district, Kenya"
9,Multiplex nested RT-PCR for the detection of porcine enteric viruses
9,Porcine epidemic diarrhea: a review of current epidemiology and available vaccines
9,Isolation and characterization of porcine epidemic diarrhea virus associated with the 2014 disease outbreak in Mexico: case report
9,Quails are resistant to infection with Neospora caninum tachyzoites
9,Treatment of Calf Diarrhea: Antimicrobial and Ancillary Treatments
9,Advances in Nutrition and Management of Calves and Heifers
9,Survey of Slaughtered Pigs for Occurrence of Ochratoxin A and Porcine Nephropathy in Serbia
9,Rotaviral and Coronaviral Diarrhea
9,Molecular characterization of canine coronavirus strains circulating in Brazil
9,Problems of calf rearing in connection with their mortality and optimal growth: A review
9,Controlled efficacy trial confirming toltrazuril resistance in a field isolate of ovine Eimeria spp.
9,"Extrapolating Antibiotic Sales to Number of Treated Animals: Treatments in Pigs and Calves in Switzerland, 2011–2015"
9,"An overview of calf diarrhea - infectious etiology, diagnosis, and intervention"
9,Prevalence of rotavirus (GARV) and coronavirus (BCoV) associated with neonatal diarrhea in calves in western Algeria
9,Isolation of porcine epidemic diarrhea virus in porcine cell cultures and experimental infection of pigs of different ages
9,Effect of weaning status on animal performance and meat quality of Rubia Gallega calves
9,Studies on Calf Diarrhoea in Mozambique: Prevalence of Bacterial Pathogens
9,"Comparison between allantochorion membrane and amniotic sac detection by per rectal palpation for pregnancy diagnosis on pregnancy loss, calving rates, and abnormalities in newborn calves"
9,"Plasma citrulline, arginine, nitric oxide, and blood ammonia levels in neonatal calves with acute diarrhea"
9,Resistance to coronavirus infection in amino peptidase N-deficient pigs
9,Standardized Preparation for Fecal Microbiota Transplantation in Pigs
9,An unique CD4+CD8+ intestinal intraepithelial Lymphocyte Specific for DnaK (Escherichia coli HSP70) may be selected by intestinal microflora of rats
9,Viral and Bacterial Pathogens in Bovine Respiratory Disease in Finland
9,"Bacteria, viruses, yeasts and protozoans associated with diarrheal disease in Singapore"
9,"Jubanines F–J, cyclopeptide alkaloids from the roots of Ziziphus jujuba"
9,Excretion of Eimeria spp. oocysts in young lambs following iron supplementation
9,Enteric Pathogens and Coinfections in Foals with and without Diarrhea
9,Dissemination of intestinal pathogens between lambs and puppies in sheep farms
9,Porcine epidemic diarrhoea: new insights into an old disease
9,Risk factors for calf mortality in large Swedish dairy herds
9,Analysis of pig trading networks and practices in Uganda
9,Effect of Chicken Egg Yolk Antibodies (IgY) against Diarrhea in Domesticated Animals: A Systematic Review and Meta-Analysis
9,"Effect of early pregnancy diagnosis by per rectum amniotic sac palpation on pregnancy loss, calving rates, and abnormalities in newborn dairy calves"
9,Intestinal antibody response after vaccination and infection with rotavirus of calves fed colostrum with or without rotavirus antibody
9,Bioaerosols Play a Major Role in the Nasopharyngeal Microbiota Content in Agricultural Environment
9,First retrospective studies with etiological confirmation of porcine transmissible gastroenteritis virus infection in Argentina
9,Gallus gallus domesticus are resistant to infection with Neospora caninum tachyzoites of the NC-1 strain
9,Studies with an unclassified virus isolated from diarrheic calves
8,Viral gastroenteritis
8,Viral gastroenteritis
8,Influenza vaccination among Saudi Hajj pilgrims: Revealing the uptake and vaccination barriers
8,Chapter 116 The Mammary Gland in Mucosal and Regional Immunity
8,The National Vaccine Advisory Committee at 30: Impact and opportunity
8,Virus-like particles as a highly efficient vaccine platform: Diversity of targets and production systems and advances in clinical development
8,"A review of licensed viral vaccines, some of their safety concerns, and the advances in the development of investigational viral vaccines"
8,Neutralizing antiviral antibody responses
8,"Vaccines, adjuvants and autoimmunity"
8,Chapter Six T Lymphocytes as Measurable Targets of Protection and Vaccination Against Viral Disorders
8,The Evolution of Poxvirus Vaccines
8,Brief introduction of current technologies in isolation of broadly neutralizing HIV-1 antibodies
8,Vaccines for Viral and Parasitic Diseases Produced with Baculovirus Vectors
8,Non-animal replacement methods for veterinary vaccine potency testing: state of the science and future directions
8,Chapter 59 Respiratory Virus Vaccines
8,"Immunotherapeutic strategies for sexually transmitted viral infections: HIV, HSV and HPV"
8,Therapeutic Applications of Monoclonal Antibodies
8,Examining the Complex Relationship Between Tuberculosis and Other Infectious Diseases in Children
8,Chapter 25 Preclinical Toxicology of Vaccines 1
8,Computational vaccinology approach: Designing an efficient multi-epitope peptide vaccine against Cryptococcus neoformans var. grubii heat shock 70KDa protein
8,Antigen delivery systems for veterinary vaccine development Viral-vector based delivery systems
8,Current progress in the development of a prophylactic vaccine for HIV-1
8,"Pulmonary DNA vaccination: Concepts, possibilities and perspectives"
8,Chapter 27 Preclinical Toxicology of Vaccines 1 1 Disclaimer: The findings and conclusions in this chapter have not been formally disseminated by the Food and Drug Administration and should not be construed to represent any Agency determination or policy.
8,Harnessing self-assembled peptide nanoparticles in epitope vaccine design
8,DNA Vaccines—How Far From Clinical Use?
8,"Chapter 5 Trends in Nonparenteral Delivery of Biologics, Vaccines and Cancer Therapies"
8,Lipid-Based Particles: Versatile Delivery Systems for Mucosal Vaccination against Infection
8,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19
8,Non-animal replacement methods for human vaccine potency testing: state of the science and future directions
8,Chapter 16 Special Issues around Veterinary Vaccines
8,Mucosal immunity: The immunology of breast milk
8,Chapter 19 Current and New Approaches for Mucosal Vaccine Delivery
8,Chapter 64 Antigen Delivery System II Development of Live Attenuated Bacterial Vectors
8,Vaccines Through Centuries: Major Cornerstones of Global Health
8,"Passive immunisation, an old idea revisited: Basic principles and application to modern animal production systems"
8,Vaccinology in the third millennium: scientific and social challenges
8,Pregnancy and infection: using disease pathogenesis to inform vaccine strategy
8,Chapter 19 Maurice Hilleman: Creator of Vaccines That Changed the World
8,Disease Prevention: An Opportunity to Expand Edible Plant-Based Vaccines?
8,Chapter 8 Innate Immunity in Simian Immunodeficiency Virus Infection
8,Pros and Cons of Antigen-Presenting Cell Targeted Tumor Vaccines
8,Vaccines against diseases transmitted from animals to humans: A one health paradigm
8,Vaccine Target Discovery
8,Engineering DNA vaccines against infectious diseases
8,Plasmodium falciparum pre-erythrocytic stage vaccine development
8,Les vaccins dans la prévention des infections associées aux soins
8,Polyionic vaccine adjuvants: another look at aluminum salts and polyelectrolytes
8,DNA vaccination protects mice against Zika virus-induced damage to the testes
8,An Overview on the Field of Micro- and Nanotechnologies for Synthetic Peptide-Based Vaccines
7,Ojo y piel
7,Infecciones neonatales (II)
7,Rinofaringitis infantiles
7,Conducta práctica ante un niño febril al regresar de un viaje
7,Bronconeumopatías agudas del niño
7,Reanimación y prevención de las infecciones nosocomiales
7,Neumopatías hospitalarias en pacientes con ventilación mecánica
7,Descompensaciones respiratorias en la enfermedad pulmonar obstructiva crónica
7,Asma infantil y del lactante
7,Antibióticos en las infecciones respiratorias
7,Infecciones nosocomiales en pediatría
7,Rinitis y rinosinusitis agudas del adulto
7,Neumonías comunitarias graves del adulto
7,"Virus respiratorio sincitial, metapneumovirus y virus parainfluenza humanos: cuadro clínico y fisiopatología"
7,Prevención del riesgo infeccioso en el consultorio de pediatría y en el hospital
7,Asma infantil
7,Neumonía aguda extrahospitalaria
7,Rinofaringitis
7,Diarreas agudas del niño
7,"Mucoviscidosis: fisiopatología, genética, aspectos clínicos y terapéuticos"
7,Antivirales (a excepción del VIH y la hepatitis)
7,Actitud diagnóstica y terapéutica ante la sospecha de infección broncopulmonar aguda en pacientes inmunocompetentes
7,Diarreas agudas
7,Signos de alarma al regresar de un viaje
7,Rinitis agudas
6,Chapter 8 Single-Stranded RNA Viruses
6,Chapter 19 The Immunophysiology of Male Reproduction
6,Targeting cancer stem cell pathways for cancer therapy
6,Viruses
6,Biology of Natural Killer Cells
6,Cancer Biomarker Discovery: The Entropic Hallmark
6,A human in vitro model system for investigating genome-wide host responses to SARS coronavirus infection
6,The 2–5 A system: Modulation of viral and cellular processes through acceleration of RNA degradation
6,Chapter 1 Viral Diseases of Nonhuman Primates
6,Chapter 8 Digestive System
6,The Regulation of Pulmonary Immunity
6,Sialic Acids in Molecular and Cellular Interactions
6,12.11 Alterations in Blood Components
6,Hepatic circulation: Potential for therapeutic intervention
6,VII Digestive System 1
6,"CHAPTER 9 Viral Diseases * * The authors are grateful to Drs. Barbara Deeb, Douglas Gregg, John Kreider, Charles Leathers, David McLean, Peter Medveczky, David Small, and Margaret Thouless for review of the chapter and to Alice Ruff for excellent editorial assistance."
6,Pathogenesis of Virus-Induced Demyelination
6,Chapter 14 Viral Diseases
6,Chapter 26 Cerebrospinal Fluid
6,"Toll-like receptors in immunity and inflammatory diseases: Past, present, and future"
6,Structure-function and application of plant lectins in disease biology and immunity
6,Lipids in host–pathogen interactions: Pathogens exploit the complexity of the host cell lipidome
6,"A Comprehensive Review of Autophagy and Its Various Roles in Infectious, Non-Infectious, and Lifestyle Diseases: Current Knowledge and Prospects for Disease Prevention, Novel Drug Design, and Therapy"
6,AT2 receptors: Functional relevance in cardiovascular disease
6,7 Metabolism of Bradykinin by Peptidases in Health and Disease
6,Evolution of Cell Recognition by Viruses: A Source of Biological Novelty with Medical Implications
6,Chapter 1 Sialic acid and biology of life: An introduction
6,Antigen Presentation and the Ubiquitin‐Proteasome System in Host–Pathogen Interactions
6,Chapter Three Type I interferons and endoplasmic reticulum stress in health and disease
6,Cell Biology of Membrane Trafficking in Human Disease
6,Chapter 3.2 Viral Infections of Laboratory Mice
6,Cyclophilin A as a target in the treatment of cytomegalovirus infections
6,"Chapter 15 Exercise, Immunity, and Illness"
6,The malaria-infected red blood cell: Structural and functional changes
6,"Chapter 5 Human Milk* * This chapter is dedicated to Lars A. Hansen, MD, PhD, the discoverer of sIgA in human milk, the father of modern “mother’s milk feeding practices,” and a remarkable human being."
6,Surfactant Protein D in Respiratory and Non-Respiratory Diseases
6,Chapter 9 Viral Diseases of the Digestive System
6,The emergence of influenza A H7N9 in human beings 16 years after influenza A H5N1: a tale of two cities
6,Biological Activities of Secretory RNases: Focus on Their Oligomerization to Design Antitumor Drugs
6,New Potential Pharmacological Functions of Chinese Herbal Medicines via Regulation of Autophagy
6,Chapter 18 Molecular Basis of Pulmonary Disease
6,The Baculoviruses Occlusion‐Derived Virus: Virion Structure and Function
6,A review of immunologic diseases of the dog
6,"A Guide to Viral Inclusions, Membrane Rearrangements, Factories, and Viroplasm Produced During Virus Replication"
6,Translational profiling of macrophages infected with Leishmania donovani identifies mTOR- and eIF4A-sensitive immune-related transcripts
6,The Multifaceted Roles of Autophagy in Flavivirus-Host Interactions
6,Chapter 23 Infectious Diseases
6,"Alzheimer's Disease: APP, Gamma Secretase, APOE, CLU, CR1, PICALM, ABCA7, BIN1, CD2AP, CD33, EPHA1, and MS4A2, and Their Relationships with Herpes Simplex, C. Pneumoniae, Other Suspect Pathogens, and the Immune System"
6,Antioxidant Defence Systems and Oxidative Stress in Poultry Biology: An Update
6,Breaking Bad: How Viruses Subvert the Cell Cycle
5,Chapter 3 Biology and Diseases of Mice
5,Viral gastroenteritis
5,Bat coronavirus phylogeography in the western Indian Ocean
5,8 Digestive System
5,Emerging infectious diseases
5,Emerging infectious diseases
5,Chapter 9 Respiratory System Diseases of Nonhuman Primates
5,Chapter 28 Selected Zoonoses
5,Chapter 33 Animal Models of Human Viral Diseases
5,Feline Coronavirus 3c Protein: A Candidate for a Virulence Marker?
5,Feline Infectious Peritonitis
5,Middle East respiratory syndrome coronavirus neutralising serum antibodies in dromedary camels: a comparative serological study
5,Hantavirus Reservoirs: Current Status with an Emphasis on Data from Brazil
5,Could FIV zoonosis responsible of the breakdown of the pathocenosis which has reduced the European CCR5-Delta32 allele frequencies?
5,Bats host major mammalian paramyxoviruses
5,Middle East respiratory syndrome coronavirus in dromedary camels: an outbreak investigation
5,Chapter 12 Biology and Diseases of Dogs
5,"European bat lyssaviruses: Distribution, prevalence and implications for conservation"
5,Severe Acute Respiratory Syndrome (SARS)
5,Chapter 25 Chiroptera
5,"Transmission of Middle East Respiratory Syndrome Coronavirus Infections in Healthcare Settings, Abu Dhabi"
5,Mating strategy is determinant of adenovirus prevalence in European bats
5,Mating strategy is determinant of Adenovirus prevalence in European bats
5,World Health Organization declares global emergency: A review of the 2019 novel coronavirus (COVID-19)
5,Important mammalian veterinary viral immunodiseases and their control
5,"Emergence, Natural History, and Variation of Canine, Mink, and Feline Parvoviruses"
5,Infectious causes of reproductive loss in camelids
5,Transmission and evolution of the Middle East respiratory syndrome coronavirus in Saudi Arabia: a descriptive genomic study
5,Chapter 13 Viral Disease
5,Emerging Viral Infections
5,"MERS coronavirus: diagnostics, epidemiology and transmission"
5,Canine and feline pregnancy loss due to viral and non-infectious causes: A review
5,Fever of Unknown Origin Due to Zoonoses
5,Nonneoplastic disorders of the brain
5,Clinical features and viral diagnosis of two cases of infection with Middle East Respiratory Syndrome coronavirus: a report of nosocomial transmission
5,Can Bats Serve as Reservoirs for Arboviruses?
5,Presence of Vaccine-Derived Newcastle Disease Viruses in Wild Birds
5,"Nipah virus: epidemiology, pathology, immunobiology and advances in diagnosis, vaccine designing and control strategies – a comprehensive review"
5,Emerging tick-borne infections in mainland China: an increasing public health threat
5,Pan-European Study on the Prevalence of the Feline Leukaemia Virus Infection – Reported by the European Advisory Board on Cat Diseases (ABCD Europe)
5,"Gut Virome Analysis of Cameroonians Reveals High Diversity of Enteric Viruses, Including Potential Interspecies Transmitted Viruses"
5,Inhibition of SARS-CoV-2 infection (previously 2019-nCoV) by a highly potent pan-coronavirus fusion inhibitor targeting its spike protein that harbors a high capacity to mediate membrane fusion
5,Lower respiratory tract infections in cats Reaching beyond empirical therapy
5,State of cat genomics
5,MERS coronaviruses from camels in Africa exhibit region-dependent genetic diversity
5,Zoonotic origin and transmission of Middle East respiratory syndrome coronavirus in the UAE
5,Chapter 8 Changing how we think about infectious diseases
5,"Chapter 12 Procyonidae, Viverridae, Hyenidae, Herpestidae, Eupleridae, and Prionodontidae"
5,"Donkey Internal Medicine—Part II: Cardiovascular, Respiratory, Neurologic, Urinary, Ophthalmic, Dermatology, and Musculoskeletal Disorders"
5,Middle East Respiratory Syndrome Coronavirus Quasispecies That Include Homologues of Human Isolates Revealed through Whole-Genome Analysis and Virus Cultured from Dromedary Camels in Saudi Arabia
4,3 Developmental and Inherited Liver Disease
4,World Health Organization
4,World Health Organization
4,A systematic review of community-based interventions for emerging zoonotic infectious diseases in Southeast Asia
4,Quantifying risks and interventions that have affected the burden of lower respiratory infections among children younger than 5 years: an analysis for the Global Burden of Disease Study 2017
4,Liver diseases in the Asia-Pacific region: a Lancet Gastroenterology & Hepatology Commission
4,Chapter Three Climate Change and the Neglected Tropical Diseases
4,Endogenous opiates: 1993
4,The structure and dynamics of multilayer networks
4,epic3: National Evidence-Based Guidelines for Preventing Healthcare-Associated Infections in NHS Hospitals in England
4,Chapter 4 Biology and Diseases of Rats
4,Chapter 8 Reproduction and Breeding of Nonhuman Primates
4,"Intranasal administration of oxytocin: Behavioral and clinical effects, a review"
4,A compendium of reviews in biochemistry and molecular biology published in the second half of 1991
